,gradyear,gender,age,cute,shopping,Cluster
139,2006.0,Female,19.0,2.0,0.0,3
140,2007.0,Female,17.0,2.0,1.0,2
141,2007.9999999999998,Female,16.0,0.0,0.0,5
144,2009.0,Male,16.0,0.0,0.0,1
147,2007.9999999999998,Male,17.0,0.0,0.0,1
148,2006.0,Female,18.0,5.0,1.0,3
150,2007.0,Female,18.0,0.0,0.0,3
151,2007.0,Female,17.0,0.0,0.0,2
152,2007.9999999999998,Female,17.0,0.0,0.0,2
154,2007.9999999999998,Male,16.0,0.0,0.0,1
156,2006.0,Female,18.0,0.0,0.0,3
157,2006.0,Female,19.0,0.0,0.0,3
158,2007.9999999999998,Female,16.0,0.0,1.0,5
161,2007.0,Male,17.0,0.0,0.0,1
165,2007.0,Female,18.0,2.0,0.0,3
167,2007.0,Female,17.0,1.0,0.0,2
168,2007.0,Male,17.0,0.0,1.0,1
171,2007.9999999999998,Female,16.0,0.0,1.0,5
178,2006.0,Female,18.0,0.0,0.0,3
179,2007.9999999999998,Male,17.0,0.0,0.0,1
181,2007.0,Female,17.0,0.0,1.0,2
183,2006.0,Female,19.0,1.0,0.0,3
184,2007.9999999999998,Female,16.0,0.0,0.0,5
185,2009.0,Female,16.0,0.0,1.0,5
186,2006.0,Female,18.0,0.0,0.0,3
188,2006.0,Male,18.0,0.0,0.0,4
189,2007.0,Female,17.0,0.0,1.0,2
190,2006.0,Male,18.0,0.0,0.0,4
191,2009.0,Female,16.0,0.0,1.0,5
192,2007.9999999999998,Female,17.0,0.0,0.0,2
196,2006.0,Female,18.0,3.0,1.0,3
199,2007.0,Female,17.0,0.0,0.0,2
201,2006.0,Male,19.0,0.0,0.0,4
202,2007.9999999999998,Female,16.0,0.0,0.0,5
204,2007.0,Female,17.0,2.0,1.0,2
205,2007.0,Male,17.0,0.0,0.0,1
206,2007.9999999999998,Male,17.0,1.0,0.0,1
207,2007.9999999999998,Male,16.0,0.0,0.0,1
209,2006.0,Female,18.0,0.0,0.0,3
210,2006.0,Male,19.0,0.0,0.0,4
212,2006.0,Female,18.0,0.0,1.0,3
213,2006.0,Female,18.0,1.0,1.0,3
214,2009.0,Female,16.0,0.0,2.0,5
215,2007.9999999999998,Female,16.0,0.0,0.0,5
216,2007.9999999999998,Female,16.0,0.0,1.0,5
217,2007.0,Female,17.0,0.0,0.0,2
221,2009.0,Female,16.0,0.0,0.0,5
222,2006.0,Female,18.0,0.0,0.0,3
224,2006.0,Female,18.0,1.0,0.0,3
225,2009.0,Female,16.0,0.0,0.0,5
227,2007.0,Female,17.0,0.0,0.0,2
228,2007.0,Female,17.0,0.0,0.0,2
229,2007.9999999999998,Male,17.0,0.0,0.0,1
230,2007.9999999999998,Female,16.0,0.0,0.0,5
231,2007.0,Female,18.0,0.0,0.0,3
236,2007.9999999999998,Female,18.0,1.0,0.0,2
237,2007.0,Male,17.0,0.0,0.0,1
238,2007.9999999999998,Female,16.0,0.0,0.0,5
242,2007.9999999999998,Female,18.0,0.0,0.0,2
243,2007.0,Male,18.0,0.0,0.0,4
244,2007.0,Female,17.0,0.0,0.0,2
245,2006.0,Female,18.0,0.0,0.0,3
248,2006.0,Female,18.0,0.0,0.0,3
249,2007.0,Female,17.0,1.0,0.0,2
250,2007.0,Male,17.0,0.0,0.0,1
252,2007.0,Female,18.0,0.0,1.0,3
254,2006.0,Female,19.0,0.0,0.0,3
255,2007.0,Female,17.0,0.0,1.0,2
256,2006.0,Male,18.0,0.0,0.0,4
257,2007.0,Female,18.0,0.0,0.0,3
258,2009.0,Female,18.0,0.0,1.0,2
265,2007.0,Male,17.0,0.0,2.9999999999999996,1
266,2007.0,Female,17.0,2.0,1.0,2
267,2006.0,Male,18.0,0.0,0.0,4
268,2007.0,Female,17.0,0.0,0.0,2
269,2006.0,Female,18.0,0.0,1.0,3
270,2007.0,Female,17.0,0.0,1.0,2
271,2007.9999999999998,Male,17.0,0.0,0.0,1
273,2007.0,Male,18.0,0.0,0.0,4
274,2006.0,Female,18.0,0.0,0.0,3
276,2007.0,Female,17.0,0.0,1.0,2
279,2006.0,Female,18.0,0.0,2.0,3
280,2007.0,Female,17.0,0.0,1.0,2
281,2007.0,Male,18.0,0.0,0.0,4
282,2006.0,Male,18.0,0.0,1.0,4
284,2007.0,Female,17.0,1.0,0.0,2
285,2007.9999999999998,Female,16.0,0.0,1.0,5
286,2007.0,Female,17.0,1.0,0.0,2
288,2006.0,Female,19.0,0.0,1.0,3
289,2007.0,Male,18.0,0.0,1.0,4
291,2007.0,Female,17.0,1.0,0.0,2
292,2007.9999999999998,Female,16.0,0.0,1.0,5
293,2007.0,Female,17.0,0.0,1.0,2
294,2007.0,Female,17.0,0.0,1.0,2
295,2007.9999999999998,Female,16.0,0.0,0.0,5
298,2007.0,Female,17.0,0.0,1.0,2
300,2007.0,Male,17.0,0.0,0.0,1
301,2007.0,Female,17.0,0.0,0.0,2
302,2006.0,Female,18.0,0.0,0.0,3
303,2007.0,Male,18.0,0.0,0.0,4
304,2009.0,Female,16.0,0.0,0.0,5
305,2007.9999999999998,Female,16.0,0.0,0.0,5
310,2007.9999999999998,Female,16.0,0.0,4.0,5
312,2006.0,Female,18.0,1.0,0.0,3
313,2006.0,Male,18.0,0.0,0.0,4
314,2007.9999999999998,Female,16.0,0.0,1.0,5
316,2007.9999999999998,Male,16.0,0.0,0.0,1
317,2007.9999999999998,Male,17.0,0.0,0.0,1
318,2007.0,Female,18.0,0.0,0.0,3
319,2006.0,Female,18.0,0.0,1.0,3
320,2006.0,Female,18.0,0.0,0.0,3
324,2006.0,Female,19.0,0.0,0.0,3
326,2006.0,Male,19.0,0.0,0.0,4
328,2007.9999999999998,Female,16.0,0.0,1.0,5
330,2007.9999999999998,Female,16.0,1.0,1.0,5
331,2009.0,Male,17.0,1.0,0.0,1
335,2007.0,Female,17.0,1.0,0.0,2
336,2006.0,Female,18.0,0.0,0.0,3
337,2006.0,Female,19.0,1.0,0.0,3
339,2007.9999999999998,Female,16.0,0.0,0.0,5
340,2009.0,Female,16.0,1.0,1.0,5
341,2007.0,Male,18.0,0.0,0.0,4
344,2006.0,Female,18.0,1.0,1.0,3
347,2007.9999999999998,Male,17.0,0.0,1.0,1
348,2009.0,Female,16.0,0.0,0.0,5
349,2007.9999999999998,Female,17.0,0.0,1.0,2
350,2006.0,Female,18.0,1.0,1.0,3
351,2007.0,Female,17.0,0.0,0.0,2
352,2006.0,Male,19.0,0.0,0.0,4
356,2007.9999999999998,Female,16.0,1.0,1.0,5
357,2007.0,Female,17.0,0.0,0.0,2
359,2007.9999999999998,Female,16.0,0.0,0.0,5
360,2007.0,Female,18.0,0.0,1.0,3
362,2006.0,Male,19.0,0.0,0.0,4
363,2007.9999999999998,Female,16.0,1.0,4.0,5
367,2007.0,Female,17.0,0.0,2.0,2
369,2007.0,Female,18.0,0.0,0.0,3
370,2007.0,Female,17.0,0.0,0.0,2
371,2006.0,Female,18.0,0.0,0.0,3
373,2009.0,Female,16.0,1.0,1.0,5
375,2007.0,Female,17.0,0.0,0.0,2
376,2009.0,Female,16.0,0.0,1.0,5
378,2006.0,Female,18.0,0.0,1.0,3
379,2006.0,Female,18.0,1.0,0.0,3
381,2006.0,Female,18.0,0.0,0.0,3
383,2009.0,Female,16.0,0.0,0.0,5
385,2007.0,Female,17.0,1.0,0.0,2
386,2007.9999999999998,Female,16.0,1.0,0.0,5
387,2007.0,Female,17.0,0.0,0.0,2
388,2007.0,Male,17.0,0.0,0.0,1
391,2007.9999999999998,Male,16.0,0.0,0.0,1
395,2007.9999999999998,Male,16.0,0.0,0.0,1
396,2007.0,Female,17.0,0.0,0.0,2
398,2006.0,Female,18.0,0.0,1.0,3
401,2007.9999999999998,Male,16.0,0.0,0.0,1
402,2007.0,Male,18.0,0.0,0.0,4
406,2007.9999999999998,Female,16.0,0.0,0.0,5
408,2006.0,Female,18.0,0.0,0.0,3
410,2007.9999999999998,Male,16.0,0.0,0.0,1
411,2006.0,Female,19.0,0.0,0.0,3
414,2007.0,Male,17.0,0.0,0.0,1
415,2007.0,Female,17.0,1.0,0.0,2
417,2007.9999999999998,Female,16.0,0.0,0.0,5
420,2007.9999999999998,Female,17.0,3.0,2.0,2
421,2007.9999999999998,Female,17.0,0.0,0.0,2
424,2007.9999999999998,Female,16.0,0.0,2.0,5
426,2009.0,Female,16.0,0.0,0.0,5
430,2006.0,Male,18.0,1.0,0.0,4
431,2009.0,Female,16.0,0.0,0.0,5
432,2007.9999999999998,Female,16.0,0.0,0.0,5
435,2006.0,Female,19.0,0.0,1.0,3
436,2006.0,Female,18.0,0.0,0.0,3
438,2006.0,Female,18.0,0.0,1.0,3
441,2006.0,Female,18.0,0.0,0.0,3
442,2006.0,Female,18.0,0.0,0.0,3
444,2009.0,Female,16.0,0.0,0.0,5
449,2007.0,Male,18.0,0.0,0.0,4
452,2007.0,Female,17.0,1.0,2.9999999999999996,2
453,2007.9999999999998,Female,16.0,0.0,0.0,5
459,2007.9999999999998,Female,16.0,1.0,1.0,5
462,2009.0,Female,16.0,0.0,0.0,5
463,2007.0,Female,17.0,0.0,0.0,2
464,2006.0,Male,18.0,0.0,1.0,4
466,2006.0,Female,19.0,0.0,1.0,3
472,2009.0,Male,16.0,0.0,0.0,1
475,2007.0,Female,17.0,0.0,0.0,2
476,2007.9999999999998,Female,16.0,0.0,2.0,5
477,2006.0,Female,18.0,0.0,2.9999999999999996,3
478,2006.0,Male,18.0,0.0,0.0,4
479,2007.0,Female,17.0,0.0,0.0,2
480,2007.0,Female,17.0,0.0,0.0,2
483,2007.9999999999998,Male,16.0,0.0,0.0,1
485,2006.0,Female,18.0,0.0,0.0,3
486,2007.0,Female,17.0,1.0,0.0,2
488,2007.9999999999998,Female,16.0,0.0,0.0,5
491,2007.9999999999998,Female,16.0,0.0,0.0,5
492,2006.0,Female,18.0,1.0,1.0,3
493,2009.0,Female,16.0,0.0,0.0,5
495,2006.0,Male,19.0,0.0,0.0,4
496,2006.0,Female,18.0,0.0,0.0,3
497,2006.0,Male,19.0,0.0,0.0,4
499,2007.9999999999998,Female,16.0,0.0,0.0,5
502,2006.0,Female,18.0,0.0,0.0,3
503,2007.9999999999998,Female,16.0,0.0,0.0,5
504,2007.9999999999998,Female,16.0,0.0,0.0,5
506,2009.0,Male,16.0,0.0,0.0,1
507,2006.0,Female,19.0,0.0,1.0,3
509,2007.0,Female,18.0,1.0,0.0,3
510,2006.0,Female,18.0,0.0,0.0,3
511,2009.0,Male,16.0,0.0,0.0,1
513,2006.0,Male,18.0,0.0,0.0,4
514,2006.0,Male,18.0,0.0,0.0,4
517,2007.9999999999998,Male,16.0,0.0,0.0,1
520,2007.0,Male,17.0,0.0,0.0,1
522,2007.9999999999998,Female,16.0,0.0,0.0,5
524,2006.0,Female,18.0,0.0,0.0,3
525,2007.0,Female,17.0,0.0,0.0,2
526,2007.0,Female,18.0,1.0,0.0,3
527,2007.0,Female,17.0,0.0,2.0,2
528,2007.0,Female,17.0,0.0,1.0,2
530,2006.0,Female,19.0,0.0,1.0,3
531,2006.0,Male,18.0,0.0,0.0,4
534,2007.0,Female,17.0,0.0,1.0,2
535,2006.0,Female,18.0,0.0,1.0,3
536,2006.0,Female,18.0,0.0,1.0,3
537,2007.0,Female,17.0,0.0,0.0,2
541,2009.0,Female,16.0,0.0,0.0,5
542,2007.0,Female,17.0,0.0,2.0,2
543,2007.0,Female,17.0,0.0,0.0,2
545,2006.0,Female,19.0,0.0,0.0,3
546,2007.9999999999998,Male,17.0,0.0,0.0,1
547,2006.0,Female,18.0,0.0,1.0,3
552,2007.0,Male,17.0,0.0,0.0,1
553,2006.0,Female,18.0,0.0,0.0,3
554,2007.0,Female,17.0,1.0,0.0,2
556,2006.0,Female,18.0,3.0,0.0,3
558,2006.0,Female,18.0,0.0,0.0,3
560,2006.0,Female,18.0,0.0,1.0,3
561,2006.0,Female,18.0,0.0,0.0,3
563,2007.9999999999998,Male,16.0,0.0,0.0,1
564,2007.0,Female,17.0,0.0,1.0,2
566,2006.0,Male,19.0,0.0,0.0,4
572,2006.0,Female,18.0,0.0,1.0,3
574,2007.0,Male,17.0,0.0,0.0,1
578,2007.9999999999998,Female,16.0,0.0,0.0,5
579,2007.0,Female,17.0,1.0,0.0,2
583,2006.0,Female,18.0,0.0,1.0,3
584,2007.0,Male,18.0,0.0,0.0,4
585,2006.0,Male,18.0,0.0,0.0,4
587,2007.0,Female,18.0,0.0,0.0,3
588,2007.9999999999998,Female,17.0,0.0,0.0,2
589,2007.9999999999998,Female,17.0,0.0,0.0,2
590,2007.9999999999998,Female,16.0,0.0,0.0,5
591,2006.0,Female,18.0,0.0,0.0,3
593,2009.0,Female,16.0,0.0,0.0,5
597,2006.0,Female,18.0,0.0,1.0,3
599,2007.0,Female,19.0,0.0,0.0,3
600,2006.0,Female,18.0,0.0,0.0,3
601,2006.0,Female,18.0,0.0,0.0,3
602,2007.9999999999998,Female,16.0,0.0,0.0,5
604,2006.0,Female,19.0,0.0,0.0,3
605,2007.9999999999998,Female,17.0,0.0,0.0,2
606,2006.0,Female,19.0,0.0,0.0,3
607,2007.0,Female,18.0,0.0,0.0,3
608,2007.9999999999998,Female,17.0,0.0,2.0,2
609,2007.0,Female,18.0,0.0,0.0,3
611,2006.0,Female,18.0,0.0,0.0,3
613,2006.0,Female,18.0,0.0,0.0,3
615,2009.0,Male,16.0,0.0,0.0,1
617,2006.0,Male,18.0,0.0,0.0,4
620,2006.0,Male,17.0,0.0,0.0,1
621,2006.0,Female,18.0,2.0,1.0,3
623,2007.0,Female,18.0,0.0,0.0,3
629,2007.9999999999998,Male,17.0,0.0,0.0,1
630,2006.0,Male,18.0,0.0,0.0,4
631,2007.0,Female,17.0,0.0,0.0,2
632,2007.9999999999998,Female,16.0,0.0,2.9999999999999996,5
633,2006.0,Male,18.0,0.0,0.0,4
634,2006.0,Female,18.0,0.0,0.0,3
635,2006.0,Female,18.0,0.0,0.0,3
640,2007.0,Female,18.0,0.0,0.0,3
643,2006.0,Female,18.0,0.0,0.0,3
645,2007.0,Female,17.0,1.0,0.0,2
647,2007.9999999999998,Female,17.0,0.0,2.0,2
650,2006.0,Female,18.0,1.0,2.0,3
653,2009.0,Female,16.0,0.0,1.0,5
655,2007.0,Female,18.0,0.0,0.0,3
656,2006.0,Male,18.0,0.0,0.0,4
660,2007.0,Male,17.0,0.0,0.0,1
661,2009.0,Female,16.0,0.0,0.0,5
662,2007.9999999999998,Female,17.0,0.0,0.0,2
663,2007.9999999999998,Female,16.0,0.0,0.0,5
665,2007.0,Female,17.0,0.0,1.0,2
666,2007.9999999999998,Male,17.0,0.0,0.0,1
667,2007.9999999999998,Female,16.0,0.0,2.0,5
668,2006.0,Female,18.0,0.0,0.0,3
670,2006.0,Female,19.0,0.0,1.0,3
673,2006.0,Female,18.0,0.0,0.0,3
674,2006.0,Female,17.0,0.0,0.0,2
676,2009.0,Female,16.0,0.0,0.0,5
677,2009.0,Female,16.0,0.0,0.0,5
679,2006.0,Female,18.0,1.0,0.0,3
680,2007.0,Female,17.0,0.0,0.0,2
681,2006.0,Female,18.0,0.0,0.0,3
682,2007.0,Female,18.0,0.0,2.0,3
683,2007.0,Male,17.0,0.0,0.0,1
685,2007.9999999999998,Male,16.0,0.0,0.0,1
686,2006.0,Female,18.0,1.0,0.0,3
687,2007.9999999999998,Female,17.0,0.0,0.0,2
690,2007.0,Female,17.0,2.0,0.0,2
691,2009.0,Male,16.0,0.0,0.0,1
693,2007.0,Female,18.0,0.0,0.0,3
694,2007.0,Female,17.0,0.0,0.0,2
695,2007.9999999999998,Female,17.0,0.0,1.0,2
699,2007.0,Male,16.0,0.0,0.0,1
700,2007.9999999999998,Male,16.0,0.0,0.0,1
702,2007.0,Female,17.0,0.0,0.0,2
704,2006.0,Female,18.0,0.0,0.0,3
710,2006.0,Female,18.0,0.0,0.0,3
711,2007.9999999999998,Female,16.0,0.0,0.0,5
712,2007.0,Female,17.0,2.0,0.0,2
713,2006.0,Female,18.0,0.0,1.0,3
717,2006.0,Female,18.0,1.0,1.0,3
719,2007.9999999999998,Female,16.0,1.0,1.0,5
721,2007.0,Female,17.0,0.0,0.0,2
724,2007.9999999999998,Male,16.0,0.0,0.0,1
726,2007.0,Female,17.0,0.0,0.0,2
729,2007.0,Female,17.0,0.0,0.0,2
731,2006.0,Male,19.0,0.0,0.0,4
732,2007.9999999999998,Female,16.0,1.0,0.0,5
733,2007.0,Male,18.0,0.0,0.0,4
734,2007.9999999999998,Female,16.0,0.0,2.0,5
737,2006.0,Female,18.0,0.0,1.0,3
738,2006.0,Female,19.0,0.0,0.0,3
740,2007.0,Female,17.0,1.0,0.0,2
748,2006.0,Female,19.0,0.0,0.0,3
750,2006.0,Female,18.0,0.0,0.0,3
751,2006.0,Male,18.0,0.0,0.0,4
752,2007.9999999999998,Female,16.0,1.0,1.0,5
754,2006.0,Female,18.0,1.0,0.0,3
755,2007.9999999999998,Male,18.0,0.0,0.0,1
756,2007.9999999999998,Female,16.0,1.0,0.0,5
757,2007.0,Female,17.0,0.0,0.0,2
758,2007.0,Female,17.0,0.0,1.0,2
760,2007.9999999999998,Female,17.0,0.0,0.0,2
762,2009.0,Male,16.0,1.0,1.0,1
763,2006.0,Female,18.0,0.0,0.0,3
770,2007.9999999999998,Female,16.0,0.0,0.0,5
772,2006.0,Male,19.0,0.0,0.0,4
773,2006.0,Female,18.0,0.0,0.0,3
775,2006.0,Male,18.0,0.0,0.0,4
776,2006.0,Male,19.0,0.0,0.0,4
778,2006.0,Female,18.0,0.0,1.0,3
779,2007.9999999999998,Female,16.0,0.0,1.0,5
780,2007.0,Female,17.0,1.0,2.0,2
781,2007.9999999999998,Female,16.0,3.0,1.0,5
782,2006.0,Female,19.0,0.0,0.0,3
784,2007.0,Female,17.0,1.0,0.0,2
786,2007.0,Female,17.0,4.0,1.0,2
787,2007.9999999999998,Female,17.0,1.0,2.0,2
789,2009.0,Female,16.0,0.0,0.0,5
791,2007.0,Male,18.0,0.0,0.0,4
793,2006.0,Female,18.0,0.0,2.0,3
794,2006.0,Female,18.0,0.0,1.0,3
796,2006.0,Male,18.0,0.0,0.0,4
797,2007.9999999999998,Female,16.0,0.0,1.0,5
798,2007.0,Male,18.0,0.0,0.0,4
799,2006.0,Female,18.0,0.0,2.0,3
802,2007.0,Female,18.0,0.0,0.0,3
803,2006.0,Female,18.0,0.0,2.0,3
804,2007.0,Male,17.0,0.0,0.0,1
805,2007.0,Female,18.0,1.0,0.0,3
806,2009.0,Male,16.0,0.0,0.0,1
807,2007.0,Female,17.0,0.0,0.0,2
808,2006.0,Female,18.0,0.0,0.0,3
809,2007.0,Female,17.0,0.0,0.0,2
810,2007.9999999999998,Female,16.0,0.0,1.0,5
814,2007.9999999999998,Female,16.0,0.0,0.0,5
816,2007.0,Male,18.0,0.0,0.0,4
817,2007.9999999999998,Female,16.0,0.0,0.0,5
819,2006.0,Male,18.0,0.0,0.0,4
820,2007.9999999999998,Female,16.0,0.0,1.0,5
821,2007.9999999999998,Male,16.0,0.0,0.0,1
823,2007.0,Male,18.0,0.0,0.0,4
825,2007.0,Male,17.0,0.0,0.0,1
827,2007.9999999999998,Female,17.0,0.0,0.0,2
828,2006.0,Female,18.0,0.0,1.0,3
829,2007.0,Female,17.0,0.0,0.0,2
830,2007.0,Female,18.0,0.0,1.0,3
832,2007.0,Male,18.0,0.0,0.0,4
833,2007.9999999999998,Female,17.0,0.0,0.0,2
835,2007.0,Female,18.0,0.0,0.0,3
836,2009.0,Male,16.0,0.0,0.0,1
837,2007.9999999999998,Female,16.0,2.0,1.0,5
839,2007.0,Female,18.0,1.0,0.0,3
840,2007.0,Female,17.0,0.0,0.0,2
842,2006.0,Female,18.0,2.0,0.0,3
843,2007.9999999999998,Female,17.0,0.0,0.0,2
846,2006.0,Female,19.0,0.0,0.0,3
847,2007.9999999999998,Female,16.0,0.0,0.0,5
853,2009.0,Female,18.0,0.0,0.0,2
855,2007.0,Male,17.0,0.0,1.0,1
856,2007.0,Female,17.0,1.0,1.0,2
857,2007.9999999999998,Female,16.0,0.0,2.0,5
858,2006.0,Female,18.0,5.0,2.0,3
859,2006.0,Female,18.0,0.0,0.0,3
862,2007.9999999999998,Female,17.0,0.0,0.0,2
864,2007.9999999999998,Male,16.0,0.0,0.0,1
865,2007.9999999999998,Female,16.0,0.0,2.0,5
866,2006.0,Female,18.0,0.0,0.0,3
867,2007.9999999999998,Female,17.0,1.0,1.0,2
868,2007.9999999999998,Female,16.0,0.0,0.0,5
869,2006.0,Female,18.0,1.0,0.0,3
871,2007.9999999999998,Female,16.0,2.0,0.0,5
872,2007.9999999999998,Female,16.0,0.0,0.0,5
874,2009.0,Male,16.0,0.0,0.0,1
878,2007.0,Female,17.0,0.0,0.0,2
880,2007.0,Female,17.0,4.0,0.0,2
884,2007.0,Male,17.0,0.0,0.0,1
885,2006.0,Male,19.0,0.0,0.0,4
886,2006.0,Female,18.0,0.0,0.0,3
888,2009.0,Female,16.0,0.0,1.0,5
889,2007.9999999999998,Male,17.0,0.0,0.0,1
891,2007.0,Female,18.0,0.0,0.0,3
893,2007.0,Female,17.0,4.0,0.0,2
895,2007.0,Female,17.0,0.0,1.0,2
896,2007.9999999999998,Female,16.0,0.0,0.0,5
898,2007.9999999999998,Male,16.0,0.0,0.0,1
899,2007.0,Female,17.0,0.0,0.0,2
900,2006.0,Female,19.0,3.0,0.0,3
901,2007.9999999999998,Male,17.0,0.0,0.0,1
902,2007.0,Male,17.0,0.0,0.0,1
903,2007.0,Female,18.0,0.0,0.0,3
904,2007.9999999999998,Male,16.0,1.0,0.0,1
906,2007.0,Female,18.0,0.0,0.0,3
908,2007.0,Female,18.0,1.0,0.0,3
909,2007.0,Male,18.0,0.0,0.0,4
916,2006.0,Male,19.0,0.0,0.0,4
917,2006.0,Female,18.0,0.0,0.0,3
920,2007.0,Female,17.0,0.0,0.0,2
922,2006.0,Female,18.0,0.0,0.0,3
923,2007.0,Female,17.0,0.0,0.0,2
926,2007.0,Female,18.0,3.0,0.0,3
927,2006.0,Female,18.0,2.0,1.0,3
929,2007.9999999999998,Female,16.0,0.0,0.0,5
933,2006.0,Female,18.0,1.0,0.0,3
934,2006.0,Male,18.0,0.0,0.0,4
935,2007.0,Female,17.0,1.0,0.0,2
936,2007.9999999999998,Male,16.0,0.0,0.0,1
938,2006.0,Female,18.0,1.0,0.0,3
941,2006.0,Female,18.0,0.0,0.0,3
943,2006.0,Female,18.0,0.0,0.0,3
944,2006.0,Female,18.0,1.0,0.0,3
946,2007.0,Female,17.0,0.0,0.0,2
947,2007.9999999999998,Female,16.0,0.0,0.0,5
949,2006.0,Male,18.0,0.0,0.0,4
950,2007.0,Female,18.0,0.0,1.0,3
951,2006.0,Female,19.0,0.0,0.0,3
952,2009.0,Female,16.0,1.0,0.0,5
955,2006.0,Male,19.0,0.0,0.0,4
956,2007.9999999999998,Female,16.0,2.0,0.0,5
957,2006.0,Female,18.0,0.0,0.0,3
958,2007.9999999999998,Female,16.0,0.0,0.0,5
959,2007.9999999999998,Female,16.0,1.0,0.0,5
962,2007.9999999999998,Female,16.0,0.0,1.0,5
963,2006.0,Female,18.0,0.0,0.0,3
964,2009.0,Male,16.0,0.0,0.0,1
966,2007.9999999999998,Male,16.0,0.0,0.0,1
972,2007.9999999999998,Male,16.0,1.0,0.0,1
